Departamento,actos_per_capita,predicho,cook_d,leverage,std_resid
"Bogotá, D.C.",1.5728,1.1692139638070034,0.26723649230696794,0.23002568620530747,1.6381680820904039
Guaviare,1.3539,0.38429775029334623,0.21242527828570143,0.048388149197901416,3.5401701891878163
Risaralda,1.1773,0.6901752224841851,0.06970424502956481,0.061221680911061185,1.7906847787290179
Meta,1.1018,0.9885526932627704,0.015159337430511592,0.1854598218536984,0.44692235014843185
Quindío,1.0864,0.6356884516912483,0.056435135016537,0.0582652661474479,1.6542259852948065
Antioquia,0.9021,0.8082030951576733,0.0025996176739889756,0.06142501089348331,0.34520512543165766
Valle Del Cauca,0.8408,0.8124794792583756,0.0002347152028599505,0.061017462500793096,0.10409573210778805
Santander,0.7569,0.9884472610855718,0.04025141151554882,0.13334921140962386,-0.8858863847818038
Tolima,0.7533,0.6145366810680393,0.003092727961779541,0.0353456655715031,0.5032100032604777
Caldas,0.6968,0.6502999405704758,0.0004911092470469838,0.04861639807329496,0.16979938942099093
Casanare,0.6556,1.0526671688425602,0.20697618772539808,0.19912391919946643,-1.5803080953776631
Atlántico,0.6078,0.6391466503977602,0.00022231602591468822,0.04844577766070553,-0.11445501249068735
Huila,0.5879,0.5840692393366134,3.3805972231191513e-06,0.049244881515696705,0.013993009539437157
Bolívar,0.573,0.5974874247096988,9.21877879482512e-05,0.033931522747612866,-0.08873595040015321
Cundinamarca,0.5366,0.7314730907240059,0.011247347207079308,0.06166798834524592,-0.7165294647706935
Arauca,0.5247,0.7252385854508173,0.008754510408036428,0.04677631241731987,-0.7315785801721074
Boyacá,0.5114,0.7988539609586521,0.0222881034414959,0.05675287427098201,-1.0541829777479843
Norte De Santander,0.4214,0.41432047297545266,1.9587241203403066e-05,0.07848242116784865,0.026267145449913536
Cesar,0.342,0.4988846854357457,0.004618980875204927,0.040829758782968816,-0.57054926514251
Caquetá,0.3173,0.40272284299378913,0.0024759887729408907,0.0694789704116063,-0.31540703230154105
Nariño,0.3075,0.39772977368894413,0.0036099545372114948,0.08734121582633698,-0.33640008442739744
Guainía,0.3004,0.08683283551062565,0.09670756030233381,0.26838456765349883,0.889310663521916
Córdoba,0.295,0.3681131502310196,0.0013586450954001345,0.05381101324475967,-0.26771148279413837
Cauca,0.2891,0.47814800286963866,0.009501225031941509,0.05602210537439012,-0.6930293518675864
Magdalena,0.2264,0.3811747200086168,0.006927441908580351,0.06037810215902761,-0.5687008919942534
Sucre,0.2176,0.29582201495777327,0.0017347935846151342,0.05932883652487243,-0.28725694053888184
Amazonas,0.2011,0.37989197672602365,0.008839352760157968,0.05802361766630322,-0.6561278406735628
Chocó,0.144,0.25520168181766595,0.00430985344228478,0.07111540281500983,-0.41095183306350946
Putumayo,0.1085,0.4047228335405209,0.03519146938276903,0.08023352119929802,-1.1001203295583093
La Guajira,0.0976,0.26951820985447655,0.024140381210588143,0.1421442403239617,-0.6611122305569875
Vaupés,0.0962,0.15473210432004983,0.002826030383457048,0.14320118842931,-0.22522425413232247
Vichada,0.0812,0.025754035970863703,0.008577516827975227,0.31216740949966393,0.23811623731090978
