Departamento,total_actos,Compraventa,grp_inmobiliario,grp_autenticaciones,grp_registro_civil,grp_familia,grp_sociedades,Poblacion,PIB_miles_millones,IPM,actos_per_capita,compraventas_per_capita,PIB_per_capita,pct_inmobiliario,pct_autenticaciones,pct_registro_civil,pct_familia,pct_sociedades,iian_a_pc,iian_b_pc,iian_c_pc,iian_a_desv_pct,iian_a_pos,iian_b_desv_pct,iian_b_pos,iian_c_desv_pct,iian_c_pos,clasificacion,clasificacion_b,clasificacion_c,desviacion_pct,posicion
"Bogotá, D.C.",12492643.0,96795.0,272997.0,11133937.0,889341.0,44063.0,14613.0,7942867.0,430151.0411388668,2.2,1.5728,0.012186,54155639.0,2.19,89.12,7.12,0.35,0.12,1.5728,0.1711,0.03437,192.09,1,171.39,1,96.39,2,Alta intensidad,Alta intensidad,Alta intensidad,192.09,1
Guaviare,114669.0,1277.0,1700.0,111968.0,496.0,266.0,15.0,84696.0,1396.4228351461982,20.0,1.3539,0.015077,16487471.0,1.48,97.64,0.43,0.23,0.01,1.3539,0.0319,0.020072,151.44,2,-49.4,23,14.69,14,Alta intensidad,Baja intensidad,Sobre promedio,151.44,2
Risaralda,1181143.0,17435.0,32484.0,1029470.0,96753.0,7257.0,1273.0,1003225.0,28675.314647443458,4.9,1.1773,0.017379,28583134.0,2.75,87.16,8.19,0.61,0.11,1.1773,0.1512,0.03238,118.64,3,139.83,3,85.02,5,Alta intensidad,Alta intensidad,Alta intensidad,118.64,3
Meta,1274090.0,23855.0,31494.0,1186576.0,41252.0,4583.0,842.0,1156405.0,54796.74226120616,12.3,1.1018,0.020629,47385425.0,2.47,93.13,3.24,0.36,0.07,1.1018,0.0757,0.027234,104.62,4,20.07,13,55.61,8,Alta intensidad,Sobre promedio,Alta intensidad,104.62,4
Quindío,606086.0,10366.0,18655.0,515294.0,58206.0,4012.0,721.0,557884.0,14586.944459146682,6.7,1.0864,0.018581,26146913.0,3.08,85.02,9.6,0.66,0.12,1.0864,0.1627,0.033439,101.76,5,158.07,2,91.07,3,Alta intensidad,Alta intensidad,Alta intensidad,101.76,5
Antioquia,6250292.0,112231.0,180185.0,5381499.0,513755.0,40811.0,4872.0,6928372.0,253232.37990946393,9.5,0.9021,0.016199,36550055.0,2.88,86.1,8.22,0.65,0.08,0.9021,0.1254,0.026007,67.53,6,98.9,4,48.6,9,Alta intensidad,Alta intensidad,Sobre promedio,67.53,6
Valle Del Cauca,3958684.0,54043.0,117098.0,3415597.0,334075.0,26601.0,3542.0,4708393.0,166348.6859596582,4.9,0.8408,0.011478,35330247.0,2.96,86.28,8.44,0.67,0.09,0.8408,0.1153,0.02487,56.15,7,82.88,6,42.11,11,Alta intensidad,Alta intensidad,Sobre promedio,56.15,7
Santander,1815181.0,40719.0,66783.0,1532273.0,174931.0,13381.0,2709.0,2398303.0,109532.22088471026,6.9,0.7569,0.016978,45670718.0,3.68,84.41,9.64,0.74,0.15,0.7569,0.118,0.027846,40.57,8,87.17,5,59.11,6,Sobre promedio,Alta intensidad,Alta intensidad,40.57,8
Tolima,1044383.0,29362.0,45547.0,899867.0,77960.0,6763.0,1957.0,1386410.0,37045.67700419287,12.2,0.7533,0.021178,26720578.0,4.36,86.16,7.46,0.65,0.19,0.7533,0.1042,0.032852,39.9,9,65.28,7,87.72,4,Sobre promedio,Alta intensidad,Alta intensidad,39.9,9
Caldas,734750.0,13918.0,24248.0,641876.0,55024.0,4232.0,720.0,1054450.0,28821.000529787543,7.9,0.6968,0.013199,27332733.0,3.3,87.36,7.49,0.58,0.1,0.6968,0.0881,0.022996,29.41,10,39.74,10,31.4,12,Sobre promedio,Sobre promedio,Sobre promedio,29.41,10
