Departamento,codigo_dane_dpto,numero_notarias,Poblacion,notarias_per_100k,actos_por_notaria,actos_per_capita,PIB_per_capita,IPM,desviacion_pct,clasificacion,posicion
"Bogotá, D.C.",11,81,7942867.0,1.0197829071039461,154230.16049382716,1.5728,54155639.0,2.2,192.09,Alta utilización,1
Guaviare,95,1,84696.0,1.1806933031075848,114669.0,1.3539,16487471.0,20.0,151.44,Alta utilización,2
Risaralda,66,21,1003225.0,2.0932492711007002,56244.90476190476,1.1773,28583134.0,4.9,118.64,Alta utilización,3
Meta,50,15,1156405.0,1.2971234126452238,84939.33333333333,1.1018,47385425.0,12.3,104.62,Alta utilización,4
Quindío,63,15,557884.0,2.6887309906718957,40405.73333333333,1.0864,26146913.0,6.7,101.76,Alta utilización,5
Antioquia,5,134,6928372.0,1.9340762880515079,46643.97014925373,0.9021,36550055.0,9.5,67.53,Alta utilización,6
Valle Del Cauca,76,75,4708393.0,1.5929001678492003,52782.45333333333,0.8408,35330247.0,4.9,56.15,Alta utilización,7
Santander,68,54,2398303.0,2.2515920632213695,33614.46296296296,0.7569,45670718.0,6.9,40.57,Sobre promedio,8
Tolima,73,38,1386410.0,2.7408919439415467,27483.763157894737,0.7533,26720578.0,12.2,39.9,Sobre promedio,9
Caldas,17,29,1054450.0,2.750248944947603,25336.206896551725,0.6968,27332733.0,7.9,29.41,Sobre promedio,10
Casanare,85,10,473165.0,2.113427662654676,31020.7,0.6556,49846436.0,8.9,21.76,Sobre promedio,11
Atlántico,8,28,2865034.0,0.977300792939979,62194.67857142857,0.6078,26812382.0,8.2,12.88,Sobre promedio,12
Huila,41,26,1208728.0,2.151021569782449,27329.846153846152,0.5879,24248639.0,9.7,9.18,Promedio,13
Bolívar,13,32,2241282.0,1.4277542941941264,40132.71875,0.573,27299042.0,17.0,6.42,Promedio,14
Cundinamarca,25,67,3535067.0,1.8952964682140394,28314.462686567163,0.5366,30608229.0,4.1,-0.34,Promedio,15
Arauca,81,7,279191.0,2.5072441446894778,20929.0,0.5247,32985859.0,12.7,-2.55,Promedio,16
Boyacá,15,54,1290393.0,4.184771616089052,12221.481481481482,0.5114,35053265.0,6.4,-5.03,Promedio,17
Norte De Santander,54,34,1709289.0,1.989131153362597,21184.70588235294,0.4214,16023433.0,13.3,-21.74,Bajo promedio,18
Cesar,20,24,1469159.0,1.6335876511664156,20933.5,0.342,21163247.0,14.8,-36.49,Bajo promedio,19
Caquetá,18,8,429041.0,1.8646236606757862,17014.875,0.3173,15921615.0,15.0,-41.07,Bajo promedio,20
Nariño,52,25,1713586.0,1.4589288194464707,21080.36,0.3075,15076534.0,13.2,-42.89,Bajo promedio,21
Guainía,94,2,59706.0,3.3497470940943956,8966.5,0.3004,10140803.0,51.8,-44.21,Bajo promedio,22
Córdoba,23,24,1992907.0,1.2042709469132278,24494.291666666668,0.295,15531329.0,19.8,-45.21,Bajo promedio,23
Cauca,19,29,1599148.0,1.8134656704695251,15941.862068965518,0.2891,19449644.0,13.0,-46.31,Bajo promedio,24
Magdalena,47,26,1544507.0,1.6833850542600326,13449.23076923077,0.2264,15555677.0,17.6,-57.95,Utilización crítica,25
Sucre,70,21,1034102.0,2.030747450444927,10717.714285714286,0.2176,13315454.0,25.4,-59.59,Utilización crítica,26
Amazonas,91,1,85057.0,1.17568218959051,17102.0,0.2011,15643143.0,18.1,-62.65,Utilización crítica,27
Chocó,27,16,593106.0,2.6976628123809236,5338.6875,0.144,12783458.0,30.8,-73.26,Utilización crítica,28
Putumayo,86,8,390742.0,2.047386766715633,5300.625,0.1085,15588902.0,13.6,-79.85,Utilización crítica,29
La Guajira,44,8,1066679.0,0.7499913282252674,13010.75,0.0976,16516342.0,40.1,-81.87,Utilización crítica,30
Vaupés,97,1,44142.0,2.265416156948031,4246.0,0.0962,10690318.0,41.7,-82.13,Utilización crítica,31
"Archipiélago De San Andrés, Providencia Y Santa Catalina",88,2,63438.0,3.152684510860998,2686.5,0.0847,,,-84.27,Utilización crítica,32
Vichada,99,4,148738.0,2.6892925815864137,3019.25,0.0812,7847260.0,55.2,-84.92,Utilización crítica,33
