Departamento,Año,Compraventa,Hipotecas,Cancelaciones de Hipotecas,Vivienda de InterÃ©s Social,Vivienda de InterÃ©s Prioritario,Vivienda de InterÃ©s Prioritario para Ahorradores,Sucesiones,Permutas,Otras  - Bien Inmueble,Contratos por Arrendamientos,Fiducia Mercantil,Leasing,ConstituciÃ³n de Sociedades,LiquidaciÃ³n de Sociedades,Reforma de Sociedad Comercial,Matrimonios Civiles,Matrimonios Civiles entre Personas del Mismo Sexo,Divorcios,Disoluciones de Uniones Maritales de Hecho,Disoluciones y/o Liquidaciones de sociedades conyugales,Correcciones del Registro Civil,Cambios de Nombre,LegitimaciÃ³n de Hijos,Capitulaciones Matrimoniales,Uniones entre Personas del Mismo Sexo,Actas de Comparecencia,Autenticaciones,Declaraciones Extra Juicio,Declaraciones de Supervivencia,Conciliaciones,Remates de Inmuebles,Copias del Registro Civil,Registros Civiles de Nacimiento,Registros Civiles de Matrimonio,Registros Civiles de DefunciÃ³n,CorrecciÃ³n del componente Sexo de Masculino a Femenino,Procedimientos Sobre Insolvencia EconÃ³mica,total_actos,posicion
"Bogotá, D.C.",2025,96795.0,12866.0,73301.0,38748.0,5843.0,10.0,11993.0,257.0,40193.0,4862.0,4743.0,3457.0,87.0,266.0,2169.0,10656.0,199.0,4711.0,468.0,3757.0,6916.0,2595.0,266.0,1085.0,37.0,8898.0,10897340.0,226332.0,1147.0,220.0,122.0,882159.0,66615.0,23150.0,60162.0,84.0,134.0,12492643.0,1
Antioquia,2025,112231.0,10648.0,18010.0,11238.0,506.0,10.0,9836.0,375.0,27065.0,66.0,612.0,1076.0,48.0,155.0,699.0,9865.0,324.0,3493.0,231.0,2259.0,8316.0,1090.0,155.0,1432.0,40.0,24388.0,5170396.0,186424.0,104.0,187.0,36.0,505284.0,81806.0,23167.0,38648.0,49.0,23.0,6250292.0,2
Valle Del Cauca,2025,54043.0,5130.0,10902.0,14157.0,2565.0,409.0,6388.0,116.0,29664.0,103.0,524.0,313.0,71.0,299.0,480.0,7860.0,130.0,3785.0,315.0,1855.0,6331.0,1282.0,299.0,356.0,17.0,3588.0,3275879.0,135828.0,161.0,141.0,9.0,327445.0,27870.0,12283.0,28025.0,61.0,0.0,3958684.0,3
Cundinamarca,2025,40906.0,2027.0,5200.0,3977.0,556.0,9.0,4521.0,114.0,14609.0,1.0,789.0,174.0,7.0,67.0,131.0,3980.0,44.0,1196.0,207.0,856.0,3231.0,795.0,67.0,202.0,7.0,863.0,1682626.0,70617.0,36.0,41.0,3.0,44455.0,5371.0,3942.0,5434.0,5.0,3.0,1897069.0,4
Santander,2025,40719.0,3344.0,6611.0,2378.0,215.0,32.0,4126.0,126.0,13338.0,3.0,123.0,628.0,38.0,234.0,186.0,3576.0,55.0,1926.0,203.0,1419.0,3560.0,567.0,234.0,260.0,7.0,508.0,1462286.0,69271.0,19.0,189.0,17.0,171137.0,12097.0,5935.0,9723.0,10.0,81.0,1815181.0,5
Atlántico,2025,18510.0,1755.0,3630.0,5328.0,2165.0,19.0,1503.0,24.0,7951.0,28.0,268.0,397.0,35.0,44.0,242.0,4853.0,69.0,1465.0,44.0,757.0,2096.0,412.0,44.0,117.0,8.0,311.0,1419338.0,70157.0,321.0,5.0,1.0,137394.0,38535.0,8606.0,14893.0,26.0,100.0,1741451.0,6
Bolívar,2025,13152.0,1627.0,1637.0,2513.0,333.0,59.0,837.0,20.0,4186.0,3.0,57.0,137.0,28.0,22.0,70.0,2466.0,30.0,668.0,32.0,524.0,1743.0,375.0,22.0,74.0,9.0,184.0,1112510.0,43560.0,3.0,7.0,9.0,74801.0,10399.0,5555.0,6572.0,12.0,11.0,1284247.0,7
Meta,2025,23855.0,613.0,1691.0,1416.0,40.0,0.0,1268.0,11.0,3868.0,0.0,15.0,140.0,8.0,177.0,36.0,1604.0,14.0,419.0,27.0,466.0,1530.0,242.0,177.0,70.0,2.0,981.0,1145501.0,40083.0,11.0,0.0,0.0,39545.0,3519.0,1981.0,4776.0,4.0,0.0,1274090.0,8
Risaralda,2025,17435.0,2933.0,4563.0,2105.0,20.0,0.0,1740.0,78.0,5349.0,0.0,329.0,92.0,21.0,29.0,64.0,1890.0,53.0,1069.0,22.0,717.0,1044.0,404.0,29.0,271.0,11.0,1309.0,993394.0,34740.0,0.0,27.0,1.0,95680.0,6400.0,3224.0,6061.0,18.0,21.0,1181143.0,9
Tolima,2025,29362.0,884.0,2067.0,3994.0,1086.0,109.0,2279.0,36.0,7998.0,10.0,426.0,476.0,13.0,187.0,141.0,2087.0,34.0,843.0,136.0,659.0,1443.0,344.0,187.0,114.0,5.0,1158.0,858639.0,39966.0,42.0,62.0,1.0,76330.0,4925.0,2885.0,5384.0,16.0,55.0,1044383.0,10
Caldas,2025,13918.0,1554.0,2794.0,1166.0,7.0,0.0,1639.0,53.0,4753.0,2.0,281.0,4.0,16.0,4.0,70.0,982.0,35.0,489.0,44.0,345.0,1311.0,294.0,4.0,162.0,5.0,1155.0,619416.0,21275.0,15.0,15.0,1.0,53709.0,3850.0,2170.0,3203.0,9.0,0.0,734750.0,11
Norte De Santander,2025,20591.0,1676.0,2311.0,1480.0,214.0,12.0,2337.0,17.0,9138.0,0.0,321.0,217.0,5.0,23.0,56.0,1879.0,48.0,760.0,91.0,883.0,1657.0,338.0,23.0,93.0,6.0,550.0,543893.0,41676.0,61.0,21.0,0.0,66284.0,11445.0,3629.0,8504.0,37.0,4.0,720280.0,12
Huila,2025,23053.0,1270.0,2041.0,836.0,300.0,42.0,1826.0,31.0,5744.0,7.0,3.0,101.0,2.0,5.0,24.0,1536.0,19.0,703.0,79.0,659.0,2029.0,519.0,5.0,44.0,4.0,494.0,563186.0,33421.0,7.0,10.0,0.0,64155.0,3179.0,1694.0,3535.0,8.0,5.0,710576.0,13
Boyacá,2025,31401.0,2269.0,3118.0,1653.0,167.0,39.0,2891.0,48.0,7169.0,22.0,57.0,93.0,3.0,14.0,35.0,1069.0,20.0,546.0,76.0,591.0,2297.0,439.0,14.0,81.0,1.0,719.0,502778.0,37102.0,0.0,90.0,4.0,55646.0,3856.0,1849.0,3781.0,11.0,11.0,659960.0,14
Quindío,2025,10366.0,1531.0,2486.0,999.0,341.0,18.0,1075.0,15.0,2897.0,2.0,97.0,141.0,3.0,17.0,55.0,1024.0,25.0,632.0,55.0,408.0,888.0,225.0,17.0,52.0,5.0,210.0,497270.0,17577.0,230.0,7.0,0.0,57301.0,3716.0,1811.0,4587.0,3.0,0.0,606086.0,15
Córdoba,2025,11386.0,900.0,1199.0,549.0,44.0,1.0,944.0,31.0,4615.0,22.0,3.0,81.0,13.0,71.0,57.0,1584.0,4.0,268.0,35.0,314.0,1149.0,219.0,71.0,28.0,1.0,132.0,498107.0,23048.0,33.0,3.0,2.0,28981.0,6500.0,2966.0,4455.0,6.0,41.0,587863.0,16
Nariño,2025,19141.0,1699.0,2506.0,821.0,42.0,1.0,1629.0,12.0,4382.0,9.0,40.0,117.0,6.0,32.0,31.0,1027.0,12.0,421.0,69.0,702.0,1261.0,742.0,32.0,34.0,10.0,1136.0,384645.0,26585.0,10.0,0.0,5.0,54142.0,16528.0,3371.0,5775.0,11.0,23.0,527009.0,17
Cesar,2025,10922.0,1226.0,1912.0,681.0,332.0,187.0,777.0,6.0,3402.0,13.0,27.0,55.0,5.0,38.0,9.0,2034.0,13.0,422.0,66.0,206.0,1002.0,259.0,38.0,32.0,1.0,59.0,415933.0,23867.0,3.0,0.0,4.0,30815.0,3966.0,1720.0,2370.0,1.0,1.0,502404.0,18
Cauca,2025,12632.0,531.0,1128.0,875.0,96.0,0.0,1112.0,15.0,2971.0,0.0,139.0,37.0,1.0,26.0,12.0,1733.0,3.0,540.0,53.0,148.0,1775.0,763.0,26.0,55.0,0.0,490.0,366739.0,28629.0,4.0,3.0,0.0,26208.0,10001.0,2315.0,3247.0,6.0,1.0,462314.0,19
Magdalena,2025,8305.0,523.0,957.0,721.0,49.0,3.0,736.0,19.0,3085.0,4.0,14.0,620.0,7.0,101.0,40.0,2049.0,4.0,257.0,20.0,238.0,985.0,191.0,101.0,24.0,2.0,319.0,272329.0,20565.0,3.0,5.0,0.0,28271.0,5625.0,2561.0,931.0,12.0,4.0,349680.0,20
Casanare,2025,9221.0,542.0,652.0,362.0,32.0,5.0,465.0,16.0,1295.0,3.0,6.0,44.0,6.0,13.0,14.0,546.0,5.0,197.0,26.0,219.0,371.0,127.0,13.0,21.0,0.0,36.0,283076.0,12185.0,0.0,6.0,0.0,210.0,309.0,70.0,103.0,11.0,0.0,310207.0,21
Sucre,2025,6742.0,623.0,694.0,164.0,112.0,3.0,604.0,6.0,1231.0,9.0,3.0,22.0,2.0,14.0,0.0,855.0,6.0,222.0,26.0,242.0,718.0,189.0,14.0,20.0,1.0,11.0,176263.0,16197.0,1.0,0.0,0.0,12904.0,3142.0,1604.0,2425.0,3.0,0.0,225072.0,22
Arauca,2025,3608.0,144.0,380.0,14.0,3.0,0.0,190.0,1.0,848.0,0.0,6.0,1.0,1.0,15.0,2.0,260.0,1.0,75.0,4.0,55.0,414.0,62.0,15.0,13.0,0.0,15.0,133126.0,6373.0,9.0,1.0,0.0,633.0,36.0,194.0,0.0,4.0,0.0,146503.0,23
Caquetá,2025,5631.0,367.0,599.0,127.0,0.0,0.0,263.0,10.0,1093.0,0.0,1.0,17.0,5.0,56.0,6.0,831.0,7.0,204.0,41.0,313.0,620.0,119.0,56.0,54.0,0.0,9.0,104254.0,10332.0,0.0,0.0,0.0,7772.0,1548.0,839.0,943.0,2.0,0.0,136119.0,24
Guaviare,2025,1277.0,22.0,69.0,0.0,121.0,0.0,54.0,0.0,211.0,0.0,3.0,0.0,0.0,4.0,3.0,97.0,0.0,31.0,0.0,5.0,47.0,21.0,4.0,5.0,1.0,245.0,109517.0,2206.0,0.0,0.0,0.0,445.0,49.0,127.0,105.0,0.0,0.0,114669.0,25
La Guajira,2025,4242.0,153.0,328.0,97.0,21.0,75.0,255.0,2.0,1042.0,1.0,4.0,3.0,2.0,7.0,18.0,732.0,2.0,139.0,12.0,55.0,607.0,188.0,7.0,6.0,0.0,82.0,76065.0,6736.0,0.0,1.0,0.0,8130.0,2977.0,921.0,1169.0,7.0,0.0,104086.0,26
Chocó,2025,1656.0,22.0,64.0,175.0,164.0,10.0,126.0,0.0,690.0,0.0,0.0,0.0,0.0,1.0,5.0,451.0,1.0,68.0,4.0,35.0,301.0,147.0,1.0,3.0,0.0,121.0,64225.0,3693.0,42.0,1.0,32.0,6721.0,5292.0,452.0,912.0,4.0,0.0,85419.0,27
Putumayo,2025,3138.0,165.0,232.0,1.0,0.0,0.0,217.0,0.0,791.0,0.0,2.0,0.0,0.0,3.0,1.0,421.0,0.0,112.0,26.0,77.0,326.0,122.0,3.0,7.0,0.0,15.0,29991.0,5360.0,5.0,0.0,0.0,541.0,247.0,418.0,179.0,5.0,0.0,42405.0,28
