Departamento,Año,Compraventa,Hipotecas,Cancelaciones de Hipotecas,Vivienda de InterÃ©s Social,Vivienda de InterÃ©s Prioritario,Vivienda de InterÃ©s Prioritario para Ahorradores,Sucesiones,Permutas,Otras  - Bien Inmueble,Contratos por Arrendamientos,Fiducia Mercantil,Leasing,ConstituciÃ³n de Sociedades,LiquidaciÃ³n de Sociedades,Reforma de Sociedad Comercial,Matrimonios Civiles,Matrimonios Civiles entre Personas del Mismo Sexo,Divorcios,Disoluciones de Uniones Maritales de Hecho,Disoluciones y/o Liquidaciones de sociedades conyugales,Correcciones del Registro Civil,Cambios de Nombre,LegitimaciÃ³n de Hijos,Capitulaciones Matrimoniales,Uniones entre Personas del Mismo Sexo,Actas de Comparecencia,Autenticaciones,Declaraciones Extra Juicio,Declaraciones de Supervivencia,Conciliaciones,Remates de Inmuebles,Copias del Registro Civil,Registros Civiles de Nacimiento,Registros Civiles de Matrimonio,Registros Civiles de DefunciÃ³n,CorrecciÃ³n del componente Sexo de Masculino a Femenino,Procedimientos Sobre Insolvencia EconÃ³mica
Amazonas,2021,371.0,35.0,69.0,0.0,0.0,0.0,15.0,0.0,258.0,0.0,3.0,3.0,0.0,0.0,0.0,49.0,0.0,9.0,2.0,11.0,62.0,26.0,0.0,0.0,0.0,0.0,19559.0,2526.0,0.0,0.0,0.0,2648.0,24.0,79.0,110.0,1.0,0.0
Amazonas,2022,405.0,38.0,74.0,0.0,0.0,0.0,31.0,1.0,303.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,0.0,4.0,2.0,9.0,62.0,38.0,0.0,1.0,0.0,0.0,16591.0,1133.0,0.0,0.0,0.0,2444.0,19.0,80.0,64.0,0.0,0.0
Amazonas,2023,348.0,29.0,52.0,1.0,0.0,0.0,9.0,2.0,304.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,1.0,2.0,0.0,3.0,59.0,27.0,1.0,1.0,0.0,0.0,14562.0,1096.0,0.0,0.0,0.0,1961.0,15.0,59.0,58.0,0.0,0.0
Amazonas,2024,276.0,15.0,49.0,0.0,0.0,0.0,7.0,0.0,156.0,0.0,4.0,3.0,0.0,1.0,3.0,35.0,0.0,3.0,0.0,5.0,52.0,20.0,1.0,2.0,0.0,0.0,13755.0,1647.0,0.0,0.0,0.0,2042.0,2.0,52.0,78.0,1.0,0.0
Amazonas,2025,356.0,30.0,47.0,0.0,0.0,0.0,15.0,1.0,245.0,0.0,1.0,1.0,0.0,1.0,0.0,44.0,0.0,4.0,1.0,5.0,50.0,18.0,1.0,1.0,0.0,0.0,12610.0,1329.0,178.0,0.0,0.0,2024.0,8.0,64.0,67.0,1.0,0.0
Antioquia,2021,106778.0,9435.0,20435.0,7453.0,377.0,9.0,9195.0,376.0,28216.0,22.0,730.0,957.0,74.0,156.0,705.0,9276.0,122.0,3201.0,144.0,2516.0,7013.0,942.0,156.0,1213.0,50.0,6910.0,4412861.0,149008.0,346.0,235.0,4.0,521482.0,100372.0,24218.0,53397.0,89.0,5.0
Antioquia,2022,108843.0,11436.0,19318.0,9126.0,334.0,21.0,10828.0,343.0,28676.0,37.0,738.0,1239.0,64.0,215.0,817.0,9473.0,166.0,3123.0,195.0,2609.0,9126.0,1164.0,215.0,1344.0,62.0,8257.0,4605525.0,139361.0,215.0,265.0,0.0,529439.0,113746.0,23754.0,40452.0,77.0,28.0
Antioquia,2023,95064.0,10603.0,15827.0,8947.0,733.0,8.0,10111.0,341.0,25848.0,22.0,579.0,1196.0,73.0,173.0,667.0,9242.0,180.0,2895.0,206.0,2310.0,8048.0,1140.0,173.0,1321.0,38.0,8355.0,4036614.0,145807.0,54.0,226.0,2.0,497845.0,99155.0,22425.0,37812.0,46.0,61.0
Antioquia,2024,98246.0,11237.0,16805.0,11921.0,705.0,16.0,9531.0,315.0,25073.0,37.0,688.0,1115.0,41.0,158.0,687.0,9284.0,256.0,3124.0,235.0,2223.0,8790.0,1137.0,158.0,1297.0,49.0,11252.0,4504473.0,166168.0,12.0,242.0,4.0,507913.0,95971.0,22056.0,39166.0,75.0,4.0
Antioquia,2025,112231.0,10648.0,18010.0,11238.0,506.0,10.0,9836.0,375.0,27065.0,66.0,612.0,1076.0,48.0,155.0,699.0,9865.0,324.0,3493.0,231.0,2259.0,8316.0,1090.0,155.0,1432.0,40.0,24388.0,5170396.0,186424.0,104.0,187.0,36.0,505284.0,81806.0,23167.0,38648.0,49.0,23.0
